contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney
AAPL220826P00133000,2022-07-25 18:17:53,133.0,1.14,1.11,1.13,0.059999943,5.55555,9.0,214,0.4116269775390625,False
AAPL220826P00134000,2022-07-25 14:45:40,134.0,1.2,1.21,1.25,-0.059999943,-4.7619004,21.0,270,0.40845318115234375,False
AAPL220826P00135000,2022-07-25 18:17:52,135.0,1.35,1.32,1.37,0.029999971,2.272725,161.0,702,0.40454697021484376,False
AAPL220826P00136000,2022-07-25 17:34:27,136.0,1.38,1.43,1.46,0.110000014,8.661419,19.0,366,0.3967345483398438,False
AAPL220826P00137000,2022-07-25 17:34:31,137.0,1.51,1.6,1.62,-0.100000024,-6.211181,44.0,61,0.39453730468750003,False
AAPL220826P00138000,2022-07-25 18:17:08,138.0,1.75,1.73,1.79,0.0,0.0,44.0,311,0.3920959228515625,False
AAPL220826P00139000,2022-07-25 17:13:34,139.0,1.76,1.9,1.94,-0.120000005,-6.382979,7.0,155,0.38672488281249995,False
AAPL220826P00140000,2022-07-25 18:00:07,140.0,2.04,2.06,2.12,-0.03999996,-1.9230752,774.0,2132,0.38294074096679687,False
AAPL220826P00141000,2022-07-25 17:23:04,141.0,2.11,2.26,2.3,-0.21000004,-9.051726,11.0,206,0.37805797729492185,False
AAPL220826P00142000,2022-07-25 18:17:52,142.0,2.5,2.44,2.49,0.049999952,2.0408144,18.0,136,0.37280900634765624,False
AAPL220826P00143000,2022-07-25 17:28:43,143.0,2.55,2.66,2.73,-0.00999999,-0.39062464,30.0,152,0.370123486328125,False
AAPL220826P00144000,2022-07-25 16:13:29,144.0,2.84,2.94,2.95,0.109999895,4.0293,14.0,290,0.36475244628906256,False
AAPL220826P00145000,2022-07-25 17:42:24,145.0,3.08,3.15,3.25,-0.01999998,-0.6451607,106.0,1034,0.3635317553710938,False
AAPL220826P00146000,2022-07-25 16:11:17,146.0,3.3,3.45,3.5,0.00999999,0.30395108,33.0,197,0.3579165771484375,False
AAPL220826P00147000,2022-07-25 17:33:57,147.0,3.6,3.65,3.75,0.0,0.0,32.0,405,0.35120277709960934,False
AAPL220826P00148000,2022-07-25 18:02:33,148.0,3.95,4.0,4.1,0.120000124,3.1331625,321.0,272,0.34924967163085935,False
AAPL220826P00149000,2022-07-25 16:44:23,149.0,4.1,4.35,4.45,0.049999714,1.2345607,11.0,343,0.3459538061523437,False
AAPL220826P00150000,2022-07-25 18:00:52,150.0,4.69,4.6,4.7,0.17999983,3.9911265,275.0,842,0.3358220715332031,False
AAPL220826P00155000,2022-07-25 18:16:19,155.0,6.8,6.8,6.85,0.35000038,5.4263625,179.0,327,0.3150703259277343,True
AAPL220826P00160000,2022-07-25 17:51:33,160.0,9.5,9.55,9.7,0.39999962,4.3956,96.0,99,0.2951730639648437,True
AAPL220826P00165000,2022-07-25 18:17:53,165.0,13.4,13.3,13.35,0.4499998,3.4749022,28.0,117,0.2825999475097656,True
AAPL220826P00170000,2022-07-22 17:45:40,170.0,16.75,17.45,17.6,0.0,0.0,3.0,16,0.27466545654296876,True
AAPL220826P00180000,2022-07-19 19:40:09,180.0,29.35,26.95,27.15,0.0,0.0,1000.0,150,0.29395237304687494,True
AAPL220826P00185000,2022-07-15 16:30:49,185.0,36.25,32.05,32.1,0.0,0.0,1.0,2,0.317389638671875,True
AAPL220826P00190000,2022-07-21 18:24:42,190.0,34.75,36.9,37.1,0.0,0.0,520.0,402,0.3544986425781249,True
AAPL220826P00250000,2022-07-22 17:35:11,250.0,96.4,96.95,97.2,0.0,0.0,1.0,1,0.6865265722656251,True
